ano;cnae_2_descricao_secao;variable;salario_medio
2016;Organismos Internacionais E Outras Instituições Extraterritoriais;Demissões;1199.8
2016;Outras Atividades De Serviços;Admissões;1213.392415143603
2016;Outras Atividades De Serviços;Demissões;1344.7858056580567
2016;Saúde Humana E Serviços Sociais;Admissões;995.3880056777856
2016;Saúde Humana E Serviços Sociais;Demissões;1190.539105820106
2016;Serviços Domésticos;Admissões;1562.0
2016;Serviços Domésticos;Demissões;905.0
2016;Transporte, Armazenagem E Correio;Admissões;1393.3921561604584
2016;Transporte, Armazenagem E Correio;Demissões;1701.7101640024912
2016;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Admissões;1520.779064516129
2016;Água, Esgoto, Atividades De Gestão De Resíduos E Descontaminação;Demissões;1670.2135483870968
2017;Administração Pública, Defesa E Seguridade Social;Admissões;1914.24857240671
2017;Administração Pública, Defesa E Seguridade Social;Demissões;999.0873101314771
2017;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Admissões;574.070303030303
2017;Agricultura, Pecuária, Produção Florestal, Pesca E Aquicultura;Demissões;653.1361904761904
2017;Alojamento E Alimentação;Admissões;1075.677905579399
2017;Alojamento E Alimentação;Demissões;1170.3055226161368
2017;Artes, Cultura, Esporte E Recreação;Admissões;1333.3567741935483
2017;Artes, Cultura, Esporte E Recreação;Demissões;1488.7852249134949
2017;Atividades Administrativas E Serviços Complementares;Admissões;1263.1599094618718
2017;Atividades Administrativas E Serviços Complementares;Demissões;1339.892993776197
2017;Atividades Financeiras, De Seguros E Serviços Relacionados;Admissões;2583.6876062176166
2017;Atividades Financeiras, De Seguros E Serviços Relacionados;Demissões;7714.571640855457
2017;Atividades Imobiliárias;Admissões;1502.1893548387097
2017;Atividades Imobiliárias;Demissões;1476.4337190082645
2017;Atividades Profissionais, Científicas E Técnicas;Admissões;2275.139728448276
2017;Atividades Profissionais, Científicas E Técnicas;Demissões;2850.6402461139896
2017;"Comércio; Reparação De Veículos Automotores E Motocicletas";Admissões;1427.3208781255084
2017;"Comércio; Reparação De Veículos Automotores E Motocicletas";Demissões;1607.831084691424
2017;Construção;Admissões;1491.6484481086325
2017;Construção;Demissões;1607.3725884016972
2017;Educação;Admissões;1576.87290866783
2017;Educação;Demissões;2016.2088396946565
2017;Indústrias De Transformação;Admissões;2191.1727497425336
2017;Indústrias De Transformação;Demissões;2505.48752039555
