desc_cod_escoa_sanitario_domic_fam;cod_familiar_fam
Fossa séptica;1096371197
Vala a céu aberto;1096373211
Vala a céu aberto;1096375699
Vala a céu aberto;1096375770
Vala a céu aberto;1096376407
;1096378361
;1096378442
Fossa rudimentar;1096378523
Fossa séptica;1096378876
Vala a céu aberto;1096379171
Vala a céu aberto;1096379503
;1096380005
Vala a céu aberto;1096380188
Vala a céu aberto;1096380420
Vala a céu aberto;1096380773
;1096380854
Vala a céu aberto;1096381311
;1096382040
Fossa rudimentar;1096383950
Fossa séptica;1096384256
Fossa séptica;1096384841
Vala a céu aberto;1096384922
Vala a céu aberto;1096385309
Outra forma;1096385490
Vala a céu aberto;1096385732
Outra forma;1096385813
Vala a céu aberto;1096386038
Fossa séptica;1096387000
Outra forma;1096387603
Vala a céu aberto;1096387867
Vala a céu aberto;1096389649
Outra forma;1096389720
;1096390060
Vala a céu aberto;1096390221
Vala a céu aberto;1096390302
Vala a céu aberto;1096391112
Fossa séptica;1096391201
Fossa séptica;1096391384
Fossa séptica;1096391708
Fossa séptica;1096392860
Fossa séptica;1096392941
Vala a céu aberto;1096393409
Vala a céu aberto;1096394308
Vala a céu aberto;1096394480
Fossa séptica;1096395614
Vala a céu aberto;1096395967
Fossa séptica;1096396343
Vala a céu aberto;1096396505
Vala a céu aberto;1096396777
Outra forma;1096397315
Fossa séptica;1096397668
Vala a céu aberto;1096397900
Vala a céu aberto;1096399016
Vala a céu aberto;1096399601
Outra forma;1096400634
Vala a céu aberto;1096400987
Vala a céu aberto;1096401959
Vala a céu aberto;1096402920
Vala a céu aberto;1096403579
Fossa rudimentar;1096404117
Vala a céu aberto;1096404206
Vala a céu aberto;1096404621
Direto para um rio, lago ou mar;1096405199
Vala a céu aberto;1096405601
Vala a céu aberto;1096406080
Outra forma;1096406594
;1096406756
;1096406918
Vala a céu aberto;1096407132
Vala a céu aberto;1096409852
;1096410354
Vala a céu aberto;1096410788
Vala a céu aberto;1096410869
Vala a céu aberto;1096411407
Vala a céu aberto;1096411750
Fossa séptica;1096411830
Vala a céu aberto;1096412560
Vala a céu aberto;1096414422
Vala a céu aberto;1096414503
Vala a céu aberto;1096414856
Vala a céu aberto;1096415585
Vala a céu aberto;1096416557
Vala a céu aberto;1096417103
Vala a céu aberto;1096417448
Vala a céu aberto;1096418924
Vala a céu aberto;1096419653
Vala a céu aberto;1096419815
Vala a céu aberto;1096419904
Vala a céu aberto;1096420074
Outra forma;1096420236
Vala a céu aberto;1096421470
Vala a céu aberto;1096421984
Fossa rudimentar;1096423251
Vala a céu aberto;1096424061
Vala a céu aberto;1096424304
Outra forma;1096424738
Outra forma;1096424819
;1096424908
;1096425033
Fossa séptica;1096425629
;1096427087
Vala a céu aberto;1096427168
Outra forma;1096427753
Vala a céu aberto;1096428130
Fossa séptica;1096430541
Fossa rudimentar;1096431009
Fossa rudimentar;1096431270
Vala a céu aberto;1096431351
Fossa rudimentar;1096431432
Vala a céu aberto;1096431602
Fossa séptica;1096431785
Vala a céu aberto;1096433133
Vala a céu aberto;1096434458
Outra forma;1096435187
Vala a céu aberto;1096435268
Vala a céu aberto;1096436078
Vala a céu aberto;1096436230
Vala a céu aberto;1096473356
Fossa séptica;1096473518
Vala a céu aberto;1096474166
Vala a céu aberto;1096474751
Outra forma;1096474832
Fossa rudimentar;1096475057
Vala a céu aberto;1096475480
Vala a céu aberto;1096475723
Vala a céu aberto;1096476100
Vala a céu aberto;1096477009
Fossa rudimentar;1096477181
Outra forma;1096477262
;1096477858
Fossa séptica;1096478404
Vala a céu aberto;1096478749
Vala a céu aberto;1096479206
Vala a céu aberto;1096480484
Vala a céu aberto;1096480565
Vala a céu aberto;1096480727
Vala a céu aberto;1096480808
Vala a céu aberto;1096481022
Vala a céu aberto;1096481960
Outra forma;1096482428
Vala a céu aberto;1096483238
Vala a céu aberto;1096485281
Outra forma;1096485877
Vala a céu aberto;1096486091
Vala a céu aberto;1096486334
Vala a céu aberto;1096486415
Fossa séptica;1096486768
Vala a céu aberto;1096487497
Outra forma;1096488540
Fossa séptica;1096488701
Vala a céu aberto;1096489350
Fossa séptica;1096490013
Fossa séptica;1096490790
Direto para um rio, lago ou mar;1096493381
Fossa séptica;1096493543
Vala a céu aberto;1096493896
Vala a céu aberto;1096493977
Outra forma;1096494000
Vala a céu aberto;1096494272
Fossa séptica;1096494353
Fossa séptica;1096496135
Vala a céu aberto;1096496305
Fossa séptica;1096496992
Outra forma;1096497026
Vala a céu aberto;1096497107
Fossa séptica;1096497450
Vala a céu aberto;1096498421
Vala a céu aberto;1096499231
Vala a céu aberto;1096499312
Vala a céu aberto;1096501074
Vala a céu aberto;1096501236
Fossa rudimentar;1096501406
Fossa rudimentar;1096501589
Vala a céu aberto;1096502046
Outra forma;1096502127
Outra forma;1096502470
Vala a céu aberto;1096502631
Vala a céu aberto;1096502801
Vala a céu aberto;1096503441
Vala a céu aberto;1096503522
Outra forma;1096503875
Vala a céu aberto;1096504847
Vala a céu aberto;1096505657
Outra forma;1096505738
Vala a céu aberto;1096506629
Fossa séptica;1096507439
Vala a céu aberto;1096507609
Vala a céu aberto;1096508320
Vala a céu aberto;1096509997
Vala a céu aberto;1096510146
Fossa séptica;1096510570
Vala a céu aberto;1096510812
Vala a céu aberto;1096511207
Outra forma;1096514800
Fossa rudimentar;1096515105
Vala a céu aberto;1096515610
Vala a céu aberto;1096516500
Vala a céu aberto;1096517906
Vala a céu aberto;1096518040
Outra forma;1096519364
Vala a céu aberto;1096520109
Vala a céu aberto;1096521180
Outra forma;1096521342
Vala a céu aberto;1096521504
Vala a céu aberto;1096523981
Vala a céu aberto;1096524015
Vala a céu aberto;1096524520
Fossa rudimentar;1096524600
Outra forma;1096524953
Outra forma;1096525097
Fossa séptica;1096525500
Outra forma;1096525682
Outra forma;1096525844
Vala a céu aberto;1096526573
Fossa séptica;1096527545
Fossa séptica;1096528517
Vala a céu aberto;1096528606
Fossa séptica;1096529246
Outra forma;1096529408
Vala a céu aberto;1096538075
Fossa rudimentar;1096538237
Vala a céu aberto;1096538822
Direto para um rio, lago ou mar;1096539713
Vala a céu aberto;1096540215
Fossa rudimentar;1096540568
Vala a céu aberto;1096541530
Fossa séptica;1096541963
Fossa rudimentar;1096542692
Vala a céu aberto;1096543079
;1096543664
Vala a céu aberto;1096543826
Outra forma;1096544393
Outra forma;1096546094
Outra forma;1096546256
Vala a céu aberto;1096547066
